code,color,category,category_level_1,category_level_2,category_level_3
aux_corine_frac_111,#e6004d,Artificial surfaces > Urban fabric > Continuous urban fabric,Artificial surfaces,Urban fabric,Continuous urban fabric
aux_corine_frac_112,#ff0000,Artificial surfaces > Urban fabric > Discontinuous urban fabric,Artificial surfaces,Urban fabric,Discontinuous urban fabric
aux_corine_frac_121,#cc4df2,"Artificial surfaces > Industrial, commercial, and transport units > Industrial or commercial units",Artificial surfaces,"Industrial, commercial, and transport units",Industrial or commercial units
aux_corine_frac_122,#cc0000,"Artificial surfaces > Industrial, commercial, and transport units > Road and rail networks and associated land",Artificial surfaces,"Industrial, commercial, and transport units",Road and rail networks and associated land
aux_corine_frac_123,#e6cccc,"Artificial surfaces > Industrial, commercial, and transport units > Port areas",Artificial surfaces,"Industrial, commercial, and transport units",Port areas
aux_corine_frac_124,#e6cce6,"Artificial surfaces > Industrial, commercial, and transport units > Airports",Artificial surfaces,"Industrial, commercial, and transport units",Airports
aux_corine_frac_131,#a600cc,"Artificial surfaces > Mine, dump, and construction sites > Mineral extraction sites",Artificial surfaces,"Mine, dump, and construction sites",Mineral extraction sites
aux_corine_frac_132,#a64dcc,"Artificial surfaces > Mine, dump, and construction sites > Dump sites",Artificial surfaces,"Mine, dump, and construction sites",Dump sites
aux_corine_frac_133,#ff4dff,"Artificial surfaces > Mine, dump, and construction sites > Construction sites",Artificial surfaces,"Mine, dump, and construction sites",Construction sites
aux_corine_frac_141,#ffa6ff,"Artificial surfaces > Artificial, non-agricultural vegetated areas > Green urban areas",Artificial surfaces,"Artificial, non-agricultural vegetated areas",Green urban areas
aux_corine_frac_142,#ffe6ff,"Artificial surfaces > Artificial, non-agricultural vegetated areas > Sport and leisure facilities",Artificial surfaces,"Artificial, non-agricultural vegetated areas",Sport and leisure facilities
aux_corine_frac_211,#ffffa8,Agricultural areas > Arable land > Non-irrigated arable land,Agricultural areas,Arable land,Non-irrigated arable land
aux_corine_frac_212,#ffff00,Agricultural areas > Arable land > Permanently irrigated land,Agricultural areas,Arable land,Permanently irrigated land
aux_corine_frac_213,#e6e600,Agricultural areas > Arable land > Rice fields,Agricultural areas,Arable land,Rice fields
aux_corine_frac_221,#e68000,Agricultural areas > Permanent crops > Vineyards,Agricultural areas,Permanent crops,Vineyards
aux_corine_frac_222,#f2a64d,Agricultural areas > Permanent crops > Fruit trees and berry plantations,Agricultural areas,Permanent crops,Fruit trees and berry plantations
aux_corine_frac_223,#e6a600,Agricultural areas > Permanent crops > Olive groves,Agricultural areas,Permanent crops,Olive groves
aux_corine_frac_231,#e6e64d,Agricultural areas > Pastures > Pastures,Agricultural areas,Pastures,Pastures
aux_corine_frac_241,#ffe6a6,Agricultural areas > Heterogeneous agricultural areas > Annual crops associated with permanent crops,Agricultural areas,Heterogeneous agricultural areas,Annual crops associated with permanent crops
aux_corine_frac_242,#ffe64d,Agricultural areas > Heterogeneous agricultural areas > Complex cultivation patterns,Agricultural areas,Heterogeneous agricultural areas,Complex cultivation patterns
aux_corine_frac_243,#e6cc4d,"Agricultural areas > Heterogeneous agricultural areas > Land principally occupied by agriculture, with significant areas of natural vegetation",Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation"
aux_corine_frac_244,#f2cca6,Agricultural areas > Heterogeneous agricultural areas > Agro-forestry areas,Agricultural areas,Heterogeneous agricultural areas,Agro-forestry areas
aux_corine_frac_311,#80ff00,Forest and semi natural areas > Forests > Broad-leaved forest,Forest and semi natural areas,Forests,Broad-leaved forest
aux_corine_frac_312,#00a600,Forest and semi natural areas > Forests > Coniferous forest,Forest and semi natural areas,Forests,Coniferous forest
