,tuple_coords,Melanargia galathea,Pieris napi,Aphantopus hyperantus,Aglais io,Polyommatus icarus,Vanessa atalanta,Lycaena phlaeas,Pararge aegeria,Gonepteryx rhamni,Thymelicus lineola,Pieris rapae,Coenonympha pamphilus,Aricia agestis,Polygonia c-album,Maniola jurtina,Aglais urticae,Vanessa cardui,Thymelicus sylvestris,Pyronia tithonus,Pieris brassicae,Lysandra coridon,Celastrina argiolus,Speyeria aglaja,Ochlodes venata,Plebejus argus,Lasiommata megera,Anthocharis cardamines,Argynnis paphia,Callophrys rubi,Ladoga camilla,Leptidea sinapis,Boloria selene,Satyrium w-album,Erynnis tages,Mellicta athalia,Pyrgus malvae,Euphydryas aurinia,Lysandra bellargus,Quercusia quercus,Colias croceus,Hesperia comma,Cupido minimus,Hipparchia semele,Clossiana euphrosyne,Thymelicus acteon,Hamearis lucina,Aricia artaxerxes,Papilio machaon,Fabriciana adippe,Fixsenia pruni,Thecla betulae,Erebia aethiops,Apatura iris,Coenonympha tullia,Tyria jacobaeae,Euclidia glyphica,Odezia atrata,Melitaea cinxia,Carterocephalus palaemon,Nymphalis polychloros,Nymphalis antiopa,Erebia epiphron,n_visits,name_loc
0,"(-7.824283, 54.259247)",0.0,0.696969696969697,0.24242424242424243,0.3333333333333333,0.2727272727272727,0.06060606060606061,0.12121212121212122,0.5454545454545454,0.0,0.0,0.09090909090909091,0.24242424242424243,0.0,0.0,0.30303030303030304,0.030303030303030304,0.21212121212121213,0.0,0.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.12121212121212122,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,UKBMS_loc-1044
1,"(-7.457325, 54.15933)",0.0,0.41935483870967744,0.3870967741935484,0.3548387096774194,0.0,0.06451612903225806,0.0,0.8709677419354839,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.1935483870967742,0.03225806451612903,0.03225806451612903,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,UKBMS_loc-1420
2,"(-6.949025, 54.883646)",0.0,0.36363636363636365,0.4090909090909091,0.045454545454545456,0.0,0.09090909090909091,0.0,0.8181818181818182,0.0,0.0,0.7272727272727273,0.045454545454545456,0.0,0.0,0.22727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,UKBMS_loc-0979
3,"(-6.753205, 55.169256)",0.0,0.4482758620689655,0.41379310344827586,0.034482758620689655,0.4482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.1724137931034483,0.4482758620689655,0.0,0.0,0.5172413793103449,0.1724137931034483,0.2413793103448276,0.0,0.0,0.034482758620689655,0.0,0.0,0.4827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,UKBMS_loc-0925
4,"(-6.405594, 55.228089)",0.0,0.71875,0.1875,0.375,0.4375,0.09375,0.5,0.21875,0.0,0.0,0.53125,0.28125,0.0,0.0,0.28125,0.3125,0.21875,0.0,0.0,0.34375,0.0,0.0,0.28125,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,UKBMS_loc-0962
5,"(-6.374116, 54.455052)",0.0,0.47368421052631576,0.21052631578947367,0.39473684210526316,0.5526315789473685,0.10526315789473684,0.02631578947368421,0.7894736842105263,0.0,0.0,0.13157894736842105,0.23684210526315788,0.0,0.0,0.2631578947368421,0.42105263157894735,0.23684210526315788,0.0,0.0,0.2631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,UKBMS_loc-0801
6,"(-6.372691, 54.490971)",0.0,0.5428571428571428,0.17142857142857143,0.4,0.0,0.17142857142857143,0.02857142857142857,0.7428571428571429,0.0,0.0,0.17142857142857143,0.05714285714285714,0.0,0.0,0.34285714285714286,0.2857142857142857,0.2,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,UKBMS_loc-0435
7,"(-6.312717, 55.609121)",0.0,1.0,0.5454545454545454,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.6363636363636364,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,UKBMS_loc-1920
8,"(-6.292948, 54.552762)",0.0,0.7352941176470589,0.23529411764705882,0.29411764705882354,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.7941176470588235,0.0,0.0,0.4411764705882353,0.08823529411764706,0.0,0.0,0.38235294117647056,0.20588235294117646,0.08823529411764706,0.0,0.0,0.14705882352941177,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,UKBMS_loc-1697
9,"(-6.289845, 49.969258)",0.0,0.22,0.12,0.48,0.5,0.84,0.8,0.98,0.0,0.0,0.86,0.0,0.0,0.06,0.5,0.34,0.36,0.0,0.0,0.78,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,UKBMS_loc-0607
10,"(-6.264123, 54.866803)",0.0,0.7045454545454546,0.18181818181818182,0.22727272727272727,0.0,0.20454545454545456,0.022727272727272728,0.6590909090909091,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.06818181818181818,0.6363636363636364,0.18181818181818182,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,UKBMS_loc-1007
11,"(-6.059979, 54.576204)",0.0,0.7872340425531915,0.23404255319148937,0.2978723404255319,0.3404255319148936,0.0,0.23404255319148937,0.0851063829787234,0.0,0.0,0.0,0.5319148936170213,0.0,0.0,0.3829787234042553,0.2978723404255319,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.14893617021276595,0.0,0.0,0.0,0.2978723404255319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,UKBMS_loc-0591
12,"(-5.948645, 54.637262)",0.0,0.5777777777777777,0.3111111111111111,0.35555555555555557,0.26666666666666666,0.15555555555555556,0.06666666666666667,0.8,0.0,0.0,0.2,0.044444444444444446,0.0,0.0,0.28888888888888886,0.24444444444444444,0.15555555555555556,0.0,0.0,0.3111111111111111,0.0,0.044444444444444446,0.13333333333333333,0.0,0.0,0.0,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,UKBMS_loc-1070
13,"(-5.936805, 54.565181)",0.0,0.7142857142857143,0.4,0.4,0.02857142857142857,0.08571428571428572,0.11428571428571428,0.6571428571428571,0.0,0.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.4,0.37142857142857144,0.2,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,UKBMS_loc-0896
14,"(-5.829883, 54.248818)",0.0,0.23809523809523808,0.19047619047619047,0.47619047619047616,0.38095238095238093,0.19047619047619047,0.42857142857142855,0.3333333333333333,0.0,0.0,0.3333333333333333,0.8571428571428571,0.0,0.0,0.38095238095238093,0.23809523809523808,0.23809523809523808,0.0,0.0,0.42857142857142855,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,UKBMS_loc-0147
15,"(-5.773746, 56.607033)",0.0,0.13333333333333333,0.0,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.7666666666666667,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,30,UKBMS_loc-0569
