bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,corine_frac_111,corine_frac_112,corine_frac_121,corine_frac_122,corine_frac_123,corine_frac_124,corine_frac_131,corine_frac_132,corine_frac_133,corine_frac_141,corine_frac_142,corine_frac_211,corine_frac_212,corine_frac_213,corine_frac_221,corine_frac_222,corine_frac_223,corine_frac_231,corine_frac_241,corine_frac_242,corine_frac_243,corine_frac_244,corine_frac_311,corine_frac_312,corine_frac_313,corine_frac_321,corine_frac_322,corine_frac_323,corine_frac_324,corine_frac_331,corine_frac_332,corine_frac_333,corine_frac_334,corine_frac_335,corine_frac_411,corine_frac_412,corine_frac_421,corine_frac_422,corine_frac_423,corine_frac_511,corine_frac_512,corine_frac_521,corine_frac_522,corine_frac_523,coords,name,aux_corine_frac_top_1,aux_corine_frac_top_2,aux_corine_frac_top_3,aux_corine_frac_top_4,aux_corine_frac_top_5
8.9,7.4,36.0,46.46,20.5,0.1,20.4,4.3,13.5,15.1,3.4000000000000004,845.0,96.0,52.0,20.0,273.0,170.0,174.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432135127189104,0.0,0.0,0.0,0.0,0.0,0.4620339217750176,0.0,0.0,0.0,0.0,0.0,0.0,0.194752565506072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.165105, 50.956811)",UKBMS_loc-0000,corine_frac_231,corine_frac_211,corine_frac_313,corine_frac_124,corine_frac_311
8.9,6.9,34.0,46.81,20.3,0.4,19.9,4.2,10.7,15.2,3.3000000000000003,876.0,99.0,54.0,20.0,283.0,173.0,179.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7471580739487395,0.0,0.0,0.0,0.0,0.2528419260512605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.646667, 50.775285)",UKBMS_loc-0001,corine_frac_231,corine_frac_311,corine_frac_324,corine_frac_111,corine_frac_423
9.6,7.7,35.0,48.92,21.5,0.0,21.5,4.4,14.5,16.0,3.4000000000000004,894.0,102.0,54.0,22.0,294.0,171.0,177.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4555857618537454,0.0,0.0,0.0,0.0,0.0,0.083049799645657,0.0,0.0,0.0,0.0,0.3176458608924404,0.0,0.1437185776081571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.828484, 50.888106)",UKBMS_loc-0002,corine_frac_211,corine_frac_311,corine_frac_313,corine_frac_231,corine_frac_222
10.0,7.6,38.0,43.71,21.0,1.3,19.700000000000003,5.7,14.1,15.7,4.7,826.0,97.0,45.0,24.0,278.0,154.0,155.0,254.0,0.0,0.2048451684618419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4935861640590672,0.0,0.0,0.0,0.0,0.0104440491587177,0.0,0.0,0.0,0.074553280795462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216571337524911,"(-1.966038, 50.59722)",UKBMS_loc-0003,corine_frac_231,corine_frac_523,corine_frac_112,corine_frac_322,corine_frac_311
9.8,7.4,34.0,48.53,21.200000000000003,-0.1,21.3,16.0,4.3,16.0,3.6,545.0,52.0,31.0,11.0,148.0,117.0,148.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975637539454149,0.0,0.0,0.0,0.0,0.0,8.079215673885568e-05,0.0,0.0,0.0,0.0,0.244392648845954,0.0,0.0579628050518921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.229941, 52.409243)",UKBMS_loc-0004,corine_frac_211,corine_frac_311,corine_frac_313,corine_frac_231,corine_frac_112
9.9,7.9,37.0,47.17,21.6,0.8,20.8,7.5,14.5,16.0,4.1000000000000005,744.0,85.0,47.0,23.0,245.0,144.0,148.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9550556010540768,0.0,0.0,0.0,0.0,0.0449443989459233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.191141, 50.801468)",UKBMS_loc-0005,corine_frac_231,corine_frac_311,corine_frac_212,corine_frac_122,corine_frac_221
9.8,7.6,38.0,43.94,20.8,1.1,19.700000000000003,5.4,13.9,15.5,4.5,839.0,98.0,46.0,24.0,282.0,157.0,158.0,258.0,0.0,0.0261993344373723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369888784719116,0.1782710768765445,0.0,0.0,0.0,0.0,0.0,0.579347926015267,0.0,0.0,0.0779011482288246,0.0,0.0,0.0,0.0,0.0,0.1012916359700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.966012, 50.633191)",UKBMS_loc-0006,corine_frac_231,corine_frac_211,corine_frac_322,corine_frac_243,corine_frac_142
9.6,8.0,38.0,47.23,21.4,0.4,21.0,7.1000000000000005,14.2,15.8,3.8,725.0,77.0,46.0,19.0,228.0,149.0,153.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1144236362307537,0.0,0.0,0.0,0.0,0.0,0.8855763637692463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.048074, 50.850684)",UKBMS_loc-0007,corine_frac_231,corine_frac_211,corine_frac_335,corine_frac_423,corine_frac_333
9.8,7.5,35.0,47.45,21.4,0.5,20.9,7.300000000000001,6.2,15.9,3.8,629.0,61.0,37.0,13.0,177.0,129.0,159.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311728494388841,0.0,0.0,0.0,0.0,0.0,0.0281135176083983,0.0,0.0,0.0,0.0,0.4001242326767698,0.0405894002759477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.095253, 51.789673)",UKBMS_loc-0008,corine_frac_211,corine_frac_311,corine_frac_312,corine_frac_231,corine_frac_335
10.1,7.6,36.0,46.78,21.5,0.8,20.700000000000003,5.1000000000000005,14.7,16.1,4.2,778.0,86.0,47.0,20.0,251.0,157.0,160.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095859923376425,0.840632594536183,0.0,0.0,0.0,0.0,0.0,0.1497814131261744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.280738, 51.062624)",UKBMS_loc-0010,corine_frac_211,corine_frac_231,corine_frac_142,corine_frac_213,corine_frac_133
9.4,6.800000000000001,34.0,48.06,20.6,0.6000000000000001,20.0,7.1000000000000005,11.0,15.6,3.5,710.0,79.0,47.0,18.0,224.0,147.0,155.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4459546998151144,0.0,0.0,0.0,0.0,0.0,0.5085887443945567,0.0,0.0,0.0,0.0,0.0454565557903289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.966865, 51.171084)",UKBMS_loc-0011,corine_frac_231,corine_frac_211,corine_frac_311,corine_frac_131,corine_frac_223
9.5,7.800000000000001,36.0,48.79,21.5,-0.1,21.6,4.3,14.4,15.9,3.4000000000000004,875.0,98.0,53.0,21.0,285.0,169.0,175.0,252.0,0.0,0.0449997907248764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1628769489842387,0.0,0.0,0.0,0.0,0.0,0.7903921665439003,0.0,0.0,0.0,0.0,0.0,0.0,0.0017310937469846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.742478, 50.91419)",UKBMS_loc-0013,corine_frac_231,corine_frac_211,corine_frac_112,corine_frac_313,corine_frac_523
9.7,7.6,36.0,47.77,21.3,0.2,21.1,4.5,6.1000000000000005,15.8,3.6,738.0,78.0,49.0,17.0,227.0,158.0,163.0,202.0,0.0,0.1915301985510527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207323008860751,0.0,0.0,0.0,0.0,0.0,0.0998420668373752,0.0,0.0,0.0,0.0,0.5845306706050025,0.0109161843671719,0.0,0.0,0.0924485787533223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.118311, 51.34926)",UKBMS_loc-0014,corine_frac_311,corine_frac_112,corine_frac_231,corine_frac_322,corine_frac_211
9.5,7.2,36.0,44.98,20.4,0.7000000000000001,19.700000000000003,4.800000000000001,6.0,15.4,3.9,662.0,65.0,43.0,12.0,184.0,139.0,168.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332940338479501,0.0,0.0,0.0,0.0,0.0,0.4726378837923677,0.0,0.0,0.0,0.0,0.0,0.0,0.1940680823596821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.287003, 52.242336)",UKBMS_loc-0015,corine_frac_231,corine_frac_211,corine_frac_313,corine_frac_521,corine_frac_322
